RCP_SNO,RCP_TTL,CKG_NM,RGTR_ID,RGTR_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_IPDC,CKG_MTRL_CN,CKG_INBUN_NM,CKG_DODF_NM,CKG_TIME_NM,FIRST_REG_DT
6957597,멍게샐러드,멍게샐러드,sbminb,민트쿠킹,424,0,6,무침,일상,해물류,샐러드,흔히 초고추장에 찍어먹는 멍게  색다른 방법으로 해보세요 채소도 함께 먹으면서 고급진 맛을 느끼실 수 있어요 ,[재료] 멍게 1봉지| 치커리 100g| 토마토 1개| 양파 1/4개 [양념] 간장 1큰술| 설탕 2큰술| 고추가루 1/2큰술| 다진마늘 1작은술| 참기름 1큰술| 참깨 1큰술,2인분,아무나,10분이내,20210430134829 
6957620,쉬림프앤칩스,쉬림프앤칩스,sseunghyee,승혜의야미로그,608,0,4,굽기,술안주,가공식품류,기타,오늘 소개해드릴 마트 제품은 바로  오뚜기 쉬림프앤칩스예요!  지난주에는 피쉬앤칩스였다면  이번에는 쉬림프앤칩스입니다~  겉바속탱 쉬림프앤칩스 먹어보기 ♥  우리 함께 오뚜기에 빠져보아요 :) ,[재료] 오뚜기 쉬림프앤칩스 1봉| 케찹 2큰술| 마요네즈 2큰술| 스위트칠리소스,2인분,아무나,,20210501002501 
6957628,아삭하고 달큰한 양배추 나물 무침.(아이반찬  다이어트식  건강반찬),양배추나물무침,98396898,시골할매,16476,0,638,무침,일상,채소류,밑반찬,먹으면 속도 편해지고 맛도 있는 달큰한 양배추를 샐러드나 볶음 말고 데쳐서 무치면 색다르게 맛있는 양배추 나물 무침을 소개합니다.,[재료] 양배추 200g [양념] 다진마늘 1/2큰술| 깨소금 1큰술| 국간장 1작은술| 소금 1꼬집| 참기름 1작은술,2인분,아무나,10분이내,20210501090025 
6957633,가죽나물 요리 / 가죽나물 부침개,가죽나물부침개,62929808,요알남Mingstar,4551,0,13,부침,일상,채소류,밑반찬,참죽나무의 여린잎을 가죽나물이라고 합니다. 이른봄에 올라오는 가죽나물은 독특한 향이 있어 별미 식재료로 알려져 있습니다. 가죽나물로 간단하고 맛있는 요리 만들어 보세요.  01:52초 부터 보세요.,[재료] 가죽나물 50g| 밀가루 50g| 전분가루 1Ts| 물 70ml| 소금 1꼬집| 식용유 100ml,2인분,아무나,,20210501095652 
6957636,불닭소스를 곁들인 팽이버섯요리,팽이버섯요리,32865661,우수푸드,19391,0,434,볶음,초스피드,버섯류,밑반찬,이게 바로 밥한공기 뚝딱 하게 만드는 밑반찬이네요~ 꼭 같은 종류의 불닭소스가 아니어도됩니다. ,[재료] 팽이버섯 200g| 버터 1큰술 [양념장] 진간장 1큰술| 설탕 1큰술| 까르보불닭소스 1큰술| 고추장 1큰술 [고명] 쪽파 1T| 통깨 1T,1인분,초급,30분이내,20210501110114 
6957638,소고기 콩나물밥 만들기~ 양념장까지 쉽게~,소고기콩나물밥,fanyloveh2,승승맘h2,12973,0,279,기타,일상,소고기,밥/죽/떡,콩나물밥에 맛있는 양념장까지 쉽게 만들어요.,[재료] 쌀 2컵| 콩나물 300g| 다진 쇠고기 150g| 다시마 1장| 물 2컵 [쇠고기밑간] 간장 1큰술| 맛술 1큰술| 참기름 1작은술| 후추 약간 [양념장] 간장 5큰술| 다진파 1큰술| 다진마늘 1큰술| 설탕 1작은술| 참기름 1큰술| 통깨 1작은술,3인분,초급,60분이내,20210501122912 
6957655,사워도우 칩 만들기 :: 남은 빵 요리,사워도우칩,ardour,초록바람N,991,0,8,굽기,간식,기타,과자,사워도우를 굽기 시작했더니 이런저런 빵으로 냉동실이 차기 시작. 그냥 토스트해서 잼 발라 먹어도 좋겠지만 간식용으로 하나 둘 쉽게 집어 먹을 수 있도록 만들어 봤어요. ?그런 빵 종류가 마늘빵이나 러스크 종류가 있을텐데 이번에는 올리브오일과 파마산 치즈 가루를 넣어 칩 형태로 만들어 봤어요. 바삭바삭 짭쪼름 해서 한번 먹기 시작하면 쉽게 멈출수 없는 중독성이 있네요. 바삭바삭 짭쪼름한 사워도우 칩~! 만들어 봐요~,[재료] 사워도우 빵 700g| 올리브 오일 50g| 파마산 치즈가루 5~10g| 후추 약간| 설탕 약간| 노르웨이 캐비어 20g,4인분,아무나,30분이내,20210501204715 
6975827,체다치즈과자,체다치즈과자,dudfhr79,평범한흔남,1124,0,13,기타,초스피드,가공식품류,과자,집에서 만드는 간단한 와인 안주  체다치즈 과자 레시피 입니다.,[재료] 체다치즈 1장,1인분,아무나,5분이내,20220310175831 
6957668,육수없이 끓이는 초간단 닭고기버섯국 : 잡내 걱정 zero! 깔끔한 맛이 끝내줘요~ ,닭고기버섯국,pinesmell,핸디B,1006,0,21,끓이기,일상,닭고기,국/탕,매일같이 국을 끓이는데 매번 소고기 베이스 국물만 끓일 수 없으니  가끔은 닭고기로도 국을 끓이게 되죠~ 아기 이유식용으로 구입한 닭 안심이 많아서 저는 안심을 활용해보았는데  닭다리살  닭가슴살 모두 가능한 초간단 국이라 추천드려요:),[건더기재료] 닭고기 250g| 느타리버섯 200g| 파 1/2대| 다진마늘 2/3밥숟갈 [국물재료] 물 900ml| 국간장 2밥숟갈| 멸치액젓 1밥숟갈| 소금 1차숟갈| 고춧가루 1.5밥숟갈,4인분,아무나,10분이내,20210502063505 
6957671,산마늘(명이 나물) 김치로 찜 해 먹어 봤어? 돼지 목살 산마늘 김치 찜,돼지목살산마늘김치찜,laj1219,Lime앤Thyme라앤타,647,0,1,찜,일상,돼지고기,메인반찬,나는 3대의 냉장고를 가지고 있다.  1 대는 여늬 집과 다름 없는 쓰임을 가진 냉장고로 1층 메인 키친에 자리 하며 보일러실에 여분의 냉장고가 1대 있는데 저장식이나 고추 가루  금방 먹지 않을 음식들을 보관한다. 나는 빵을 만들기 때문에 마지막 1대는 빵 재료들을 보관 하는  나쁜 냄새가 배지 않도록 청정 지대를 유지하는 내 작업실의 냉장고다.  ?  냉장고가 여러대다 보니 게으르고 조심성 없이 식재료들을 쌓아 두게 마련인지 넣어 놓고 잊어 버리는 일이 종종 있다. 특히 보일러실 냉장고로 말하자면 그 정도가 가장 심하다. 우리는 기러기다 보니 남편이 오면 먹여야지 하며 그 곳 냉장고에 넣어 두는 특별한 음식들이 가고 나면 생각 나거나 영 생각이 안 나는 경우도 있다.  ?  얼마 전에도 냉장고를 들여다 보니 작년에 담가 두었던 산 마늘 김치가 그대로 있다.  다행인 것은 산 마늘은 해를 넘겨도 수이 무르지 않으니 먹지 못해 애 닳을 일은 없다.  그 김치는 친구가 담가 준건데 친구는 말했다.  산마늘 김치로 김치 찜을 만들면 그리 맛있다나..  ?  그래서 어떻게 됐냐고?  정말 맛있더라고~  ?,[재료] 돼지 목살 400g| 고추장 1큰술| 산마늘 김치 500g| 멸치 국수 3컵| 고추가루 1큰술| 간장 1/2큰술| 다진마늘 1큰술| 설탕 2작은술| 고추 1개 ?,3인분,초급,60분이내,20210502083202 
6957682,딸기 치즈요거트 우유~*,딸기치즈요거트우유,62299079,밥차리라,480,0,12,기타,초스피드,과일류,차/음료/술,딸기 요거트 ,[재료] 딸기5개| 요거트 1숟가락| 우유120ml| 갈색설탕 1티스푼,1인분,아무나,5분이내,20210502133545 
